job_id,start_datetime,end_datetime,times_reopened,status,VIN,cust_id
JB_ID10012,04/06/22 11:06,04/29/22 22:57,0,Closed,19UYA31581L000006,C000001
JB_ID10024,05/23/22 09:27,05/25/22 04:51,0,Closed,YS3CC55B6N9000072,C000002
JB_ID10027,06/20/22 09:00,07/14/22 06:47,0,Closed,5TEMU52NX6Z303500,C000003
JB_ID10033,08/08/22 08:20,08/08/22 18:20,0,Closed,1FMDU84P4YZC41091,C000004
JB_ID10039,07/29/22 11:50,07/29/22 18:08,0,Closed,WAUPJAFM0B0010250,C000005
JB_ID10040,05/19/22 08:53,05/20/22 04:09,0,Closed,3FAHP0DC3AR119120,C000006
JB_ID10043,04/11/22 12:01,04/12/22 08:02,0,Closed,1GB1KZCG0D0018236,C000008
JB_ID10046,07/19/22 13:06,07/20/22 05:03,0,Closed,4S3BMAF61A1238659,C000009
JB_ID10056,07/15/22 09:48,07/24/22 09:27,0,Closed,WVWAB7AJ8CW168090,C000010
JB_ID10061,05/23/22 13:04,05/26/22 20:25,0,Closed,1GCRKSE00E0011846,C000012
JB_ID10079,06/17/22 11:08,06/17/22 23:13,0,Closed,2FMEK62C99BA18796,C000013
JB_ID10108,08/22/22 10:10,08/26/22 18:10,0,Closed,1JCBU7730H0015503,C000014
JB_ID10111,06/30/22 08:44,06/30/22 15:24,0,Closed,YS3ED58E7Y9000073,C000015
JB_ID10117,08/30/22 10:47,08/31/22 13:23,0,Closed,JH4CU2E60BC012599,C000016
JB_ID10119,07/11/22 13:37,07/12/22 18:25,0,Closed,5N1DD28T54C622992,C000017
JB_ID10129,06/16/22 08:09,06/17/22 01:18,0,Closed,1G1FP87W0F0016092,C000018
JB_ID10137,05/05/22 13:12,05/07/22 00:43,0,Closed,WDBGA32E8PA096984,C000020
JB_ID10141,05/05/22 08:16,05/06/22 07:18,0,Closed,WA1DKBFP0BA017238,C000021
JB_ID10172,08/22/22 12:03,08/23/22 12:25,0,Closed,JTMZK31V99D000386,C000022
JB_ID10190,06/27/22 10:36,07/04/22 08:12,0,Closed,2B4FK2132HR250078,C000023
JB_ID10215,04/11/22 09:33,04/11/22 15:16,0,Closed,JTMZK31V99D000381,C000024
